sample,sample_size,pct_fragments_clade,n_fragments_clade,n_fragments_taxon,n_minimisers,n_distinct_minimisers,rank,n_taxa_in_rank,ncbi_id,taxon,domain,kingdom,phylum,class,order,family,genus,species,db_n_minimisers_taxon,db_n_minimisers_clade
PD52713a,122669,0,2,2,163,163,S,77,1018,Capnocytophaga ochracea,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_ochracea,86761,86786
PD52713a,122669,0,2,2,49,37,S,77,1019,Capnocytophaga sputigena,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_sputigena,136681,136681
PD52713a,122669,0,1,1,44,42,S,77,327575,Capnocytophaga leadbetteri,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_leadbetteri,41162,41162
PD52713a,122669,0,3,0,169,169,F,40,2762318,Weeksellaceae,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,NA,NA,45649,10996626
PD52713a,122669,0,2,0,128,128,G,53,59732,Chryseobacterium,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,810032,7400069
PD52713a,122669,0,1,1,16,16,S,77,2754694,Chryseobacterium manosquense,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium_manosquense,73393,73393
PD52713a,122669,0,1,1,58,58,S,77,2852098,Chryseobacterium faecale,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium_faecale,77341,77341
PD52713a,122669,0,1,0,17,17,G,53,501783,Cloacibacterium,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,NA,46792,216993
PD52713a,122669,0,1,1,8,8,S,77,2004710,Cloacibacterium caeni,Bacteria,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium_caeni,82324,82324
PD52713a,122669,1.16,1422,15,29443,25944,P,11,1239,Bacillota,Bacteria,NA,Bacillota,NA,NA,NA,NA,NA,167628,154758773
PD52713a,122669,0.96,1179,11,22918,19920,C,17,91061,Bacilli,Bacteria,NA,Bacillota,Bacilli,NA,NA,NA,NA,84325,110889372
PD52713a,122669,0.93,1146,21,22053,19046,O,29,186826,Lactobacillales,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,NA,NA,NA,72254,29753213
PD52713a,122669,0.91,1115,7,21459,18429,F,40,1300,Streptococcaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,NA,NA,10738,8632391
PD52713a,122669,0.9,1108,1075,21378,18389,G,53,1301,Streptococcus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,1420046,7157238
PD52713a,122669,0.01,16,16,615,583,S,77,1304,Streptococcus salivarius,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_salivarius,170711,193712
PD52713a,122669,0,1,1,15,15,S,77,712623,Streptococcus sp. oral taxon 061,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._oral_taxon_061,27195,27195
PD52713a,122669,0,1,1,15,14,S,77,2972784,Streptococcus sp. Marseille-Q6470,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._Marseille-Q6470,29396,29396
PD52713a,122669,0,1,1,45,41,S,77,712633,Streptococcus sp. oral taxon 431,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._oral_taxon_431,44138,44138
PD52713a,122669,0,1,1,20,20,S,77,2598457,Streptococcus sp. KS 6,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._KS_6,14694,14694
PD52713a,122669,0,3,3,45,32,S,77,1302,Streptococcus gordonii,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gordonii,185881,185914
PD52713a,122669,0,3,3,77,75,S,77,1313,Streptococcus pneumoniae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pneumoniae,194032,200959
PD52713a,122669,0,1,1,44,41,S,77,68892,Streptococcus infantis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_infantis,31321,31321
PD52713a,122669,0,1,1,21,20,S,77,1308,Streptococcus thermophilus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus,141512,151734
PD52713a,122669,0,1,1,143,118,S,77,1311,Streptococcus agalactiae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae,65077,72531
PD52713a,122669,0,1,1,9,9,S,77,1334,Streptococcus dysgalactiae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_dysgalactiae,47527,62122
PD52713a,122669,0.01,7,0,228,224,F,40,33958,Lactobacillaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA,152395,14352926
PD52713a,122669,0,6,2,164,161,G,53,1578,Lactobacillus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,214458,2538385
PD52713a,122669,0,4,4,133,130,S,77,47770,Lactobacillus crispatus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_crispatus,190490,198128
PD52713a,122669,0,1,0,23,23,G,53,2767885,Latilactobacillus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,NA,23543,510605
PD52713a,122669,0,1,1,15,15,S,77,28038,Latilactobacillus curvatus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus_curvatus,166074,168269
PD52713a,122669,0,3,0,124,121,F,40,186828,Carnobacteriaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,NA,NA,738,1426588
PD52713a,122669,0,3,0,116,113,G,53,117563,Granulicatella,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA,389,139271
PD52713a,122669,0,3,3,107,104,S,77,46124,Granulicatella adiacens,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_adiacens,89283,89310
PD52713a,122669,0.02,22,0,727,699,O,29,1385,Bacillales,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,NA,NA,175250,81051834
PD52713a,122669,0.01,16,0,354,331,F,40,90964,Staphylococcaceae,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,NA,NA,37089,7916442
PD52713a,122669,0.01,16,7,339,316,G,53,1279,Staphylococcus,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,866334,5953342
PD52713a,122669,0,4,4,71,71,S,77,29388,Staphylococcus capitis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_capitis,114913,127775
PD52713a,122669,0,3,3,73,59,S,77,45972,Staphylococcus pasteuri,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_pasteuri,109836,111695
PD52713a,122669,0,1,1,28,27,S,77,1292,Staphylococcus warneri,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_warneri,60202,60202
PD52713a,122669,0,1,1,10,10,S,77,28035,Staphylococcus lugdunensis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_lugdunensis,113572,114079
PD52713a,122669,0,6,1,183,180,G,53,1378,Gemella,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,NA,5004,303032
PD52713a,122669,0,4,4,125,122,S,77,84135,Gemella sanguinis,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,Gemella_sanguinis,46818,46818
PD52713a,122669,0,1,1,19,19,S,77,1379,Gemella haemolysans,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,Gemella_haemolysans,104903,104903
PD52713a,122669,0.17,208,0,5408,5029,C,17,909932,Negativicutes,Bacteria,NA,Bacillota,Negativicutes,NA,NA,NA,NA,1203,3033026
PD52713a,122669,0.17,203,0,5162,4798,O,29,1843489,Veillonellales,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,NA,NA,NA,0,1060505
PD52713a,122669,0.17,203,1,5162,4798,F,40,31977,Veillonellaceae,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,NA,NA,218,1060505
PD52713a,122669,0.16,202,133,5154,4790,G,53,29465,Veillonella,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,NA,67496,487472
PD52713a,122669,0.03,38,38,1031,999,S,77,29466,Veillonella parvula,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella_parvula,116480,135678
PD52713a,122669,0.02,21,21,1011,920,S,77,39777,Veillonella atypica,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella_atypica,59745,59745
PD52713a,122669,0.01,10,10,330,312,S,77,39778,Veillonella dispar,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella_dispar,37066,37066
PD52713a,122669,0,5,0,235,223,O,29,909929,Selenomonadales,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,NA,NA,NA,80,1553260
PD52713a,122669,0,5,0,235,223,F,40,1843491,Selenomonadaceae,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,NA,NA,61,904247
PD52713a,122669,0,5,1,231,219,G,53,970,Selenomonas,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA,15113,634692
PD52713a,122669,0,3,3,56,56,S,77,69823,Selenomonas sputigena,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sputigena,139435,177885
PD52713a,122669,0.01,16,0,709,689,C,17,186801,Clostridia,Bacteria,NA,Bacillota,Clostridia,NA,NA,NA,NA,12676,36735323
PD52713a,122669,0.01,16,0,690,670,O,29,186802,Eubacteriales,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,NA,NA,NA,133037,32993672
PD52713a,122669,0.01,12,0,305,298,F,40,543314,Eubacteriales Family XIII. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,NA,NA,107,580141
PD52713a,122669,0.01,12,1,305,298,G,53,86331,Mogibacterium,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,NA,3552,136715
PD52713a,122669,0.01,11,11,276,269,S,77,114527,Mogibacterium diversum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,Mogibacterium_diversum,80124,80124
PD52713a,122669,0,4,1,134,130,F,40,186803,Lachnospiraceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA,187674,8029561
PD52713a,122669,0,3,0,75,72,G,53,1164882,Lachnoanaerobaculum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,NA,0,85054
PD52713a,122669,0,3,3,75,72,S,77,617123,Lachnoanaerobaculum umeaense,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum_umeaense,85054,85054
PD52713a,122669,0,4,0,93,93,C,17,1737404,Tissierellia,Bacteria,NA,Bacillota,Tissierellia,NA,NA,NA,NA,2816,1552267
PD52713a,122669,0,4,0,90,90,O,29,1737405,Tissierellales,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,NA,NA,NA,293,1361061
PD52713a,122669,0,4,0,88,88,F,40,1570339,Peptoniphilaceae,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,NA,NA,3728,856719
PD52713a,122669,0,3,0,66,66,G,53,543311,Parvimonas,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,NA,0,108164
PD52713a,122669,0,3,3,66,66,S,77,33033,Parvimonas micra,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas_micra,108164,108164
PD52713a,122669,0,1,0,13,13,G,53,150022,Finegoldia,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,NA,0,154805
PD52713a,122669,0,1,1,13,13,S,77,1260,Finegoldia magna,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia_magna,121950,154805
PD52713a,122669,0.05,62,0,1875,1728,P,11,201174,Actinomycetota,Bacteria,NA,Actinomycetota,NA,NA,NA,NA,NA,91054,225281742
PD52713a,122669,0.05,62,1,1724,1580,C,17,1760,Actinomycetes,Bacteria,NA,Actinomycetota,Actinomycetes,NA,NA,NA,NA,2124736,219009220
PD52713a,122669,0.02,25,0,389,350,O,29,85009,Propionibacteriales,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,NA,NA,NA,15639,12116986
PD52713a,122669,0.02,24,0,368,331,F,40,31957,Propionibacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,NA,NA,13285,3722028
PD52713a,122669,0.02,23,2,343,308,G,53,1912216,Cutibacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA,23124,552859
PD52713a,122669,0.02,21,21,328,293,S,77,1747,Cutibacterium acnes,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium_acnes,129840,138230
PD52713a,122669,0,1,1,8,8,G,53,1743,Propionibacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,NA,3421,324086
PD52713a,122669,0,1,0,20,18,F,40,85015,Nocardioidaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,NA,NA,43546,7486185
PD52713a,122669,0,1,0,18,16,G,53,1839,Nocardioides,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,NA,138274,5445479
PD52713a,122669,0,1,1,13,13,S,77,160826,Nocardioides aquaticus,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides_aquaticus,124033,124033
PD52713a,122669,0.01,14,0,340,292,O,29,85006,Micrococcales,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,NA,NA,NA,227574,46216650
PD52713a,122669,0.01,12,0,264,223,F,40,1268,Micrococcaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,NA,NA,224528,13891852
PD52713a,122669,0.01,7,0,191,167,G,53,32207,Rothia,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,NA,16391,922287
PD52713a,122669,0.01,7,7,173,149,S,77,43675,Rothia mucilaginosa,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia_mucilaginosa,187023,208061
PD52713a,122669,0,5,5,64,48,G,53,1269,Micrococcus,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,NA,103479,357718
PD52713a,122669,0,1,0,17,17,F,40,85019,Brevibacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,NA,NA,0,2276726
PD52713a,122669,0,1,1,17,17,G,53,1696,Brevibacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,NA,386150,2276726
PD52713a,122669,0,1,0,33,27,F,40,85023,Microbacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,NA,NA,201366,19125789
PD52713a,122669,0,1,1,7,7,G,53,33886,Rathayibacter,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rathayibacter,NA,81627,1056264
PD52713a,122669,0.01,11,0,549,513,O,29,2037,Actinomycetales,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,NA,NA,NA,0,4723219
PD52713a,122669,0.01,11,1,549,513,F,40,2049,Actinomycetaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,NA,NA,8149,4723219
PD52713a,122669,0.01,9,6,157,152,G,53,1654,Actinomyces,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,198753,2369273
PD52713a,122669,0,3,3,60,60,S,77,1852377,Actinomyces pacaensis,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_pacaensis,61569,61569
PD52713a,122669,0,1,1,342,312,G,53,2529408,Schaalia,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,NA,3789,714503
PD52713a,122669,0.01,10,0,188,186,O,29,85004,Bifidobacteriales,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,NA,NA,NA,0,2954632
PD52713a,122669,0.01,10,0,188,186,F,40,31953,Bifidobacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,NA,NA,1335,2954632
PD52713a,122669,0.01,7,6,142,140,G,53,1678,Bifidobacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,503235,2587361
PD52713a,122669,0,1,1,8,8,S,77,33905,Bifidobacterium thermophilum,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_thermophilum,70575,70575
PD52713a,122669,0,3,3,45,45,G,53,2701,Gardnerella,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA,75394,246595
PD52713a,122669,0,1,0,104,95,O,29,85007,Mycobacteriales,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,NA,NA,NA,230521,53073014
PD52713a,122669,0,1,0,58,57,F,40,1653,Corynebacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,NA,NA,0,9805876
PD52713a,122669,0,1,0,58,57,G,53,1716,Corynebacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,NA,695265,9805876
PD52713a,122669,0,1,1,11,11,S,77,43768,Corynebacterium matruchotii,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_matruchotii,129029,129029
PD52713a,122669,0.76,929,17,17737,15767,P,11,1224,Pseudomonadota,Bacteria,NA,Pseudomonadota,NA,NA,NA,NA,NA,1727400,510239650
PD52713a,122669,0.7,859,27,15731,13901,C,17,1236,Gammaproteobacteria,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,1107460,265363090
PD52713a,122669,0.66,805,94,14555,12753,O,29,91347,Enterobacterales,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,NA,NA,NA,1057856,63758651
PD52713a,122669,0.58,711,700,13747,12146,F,40,543,Enterobacteriaceae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,2515379,30595307
PD52713a,122669,0.01,10,6,348,312,G,53,561,Escherichia,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,NA,252102,3083417
PD52713a,122669,0,4,4,219,195,S,77,562,Escherichia coli,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli,2001297,2100927
PD52713a,122669,0,1,0,25,25,G,53,620,Shigella,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,NA,9010,93852
PD52713a,122669,0,1,1,22,22,S,77,623,Shigella flexneri,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella_flexneri,35988,40302
PD52713a,122669,0.01,16,0,379,364,O,29,135625,Pasteurellales,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,NA,NA,NA,0,4798812
PD52713a,122669,0.01,16,5,379,364,F,40,712,Pasteurellaceae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NA,NA,101972,4798812
PD52713a,122669,0.01,10,4,296,283,G,53,724,Haemophilus,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,NA,120235,1041355
PD52713a,122669,0,5,5,198,185,S,77,729,Haemophilus parainfluenzae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parainfluenzae,358506,373768
PD52713a,122669,0,1,1,23,23,S,77,727,Haemophilus influenzae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_influenzae,216914,223547
PD52713a,122669,0,1,1,27,27,G,53,416916,Aggregatibacter,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,NA,46245,434334
PD52713a,122669,0,6,0,124,116,O,29,72274,Pseudomonadales,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,NA,NA,NA,12950,64260950
PD52713a,122669,0,6,0,118,110,F,40,135621,Pseudomonadaceae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA,NA,348277,61408160
PD52713a,122669,0,6,4,60,53,G,53,2901164,Stutzerimonas,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,NA,224596,2159305
PD52713a,122669,0,2,2,38,32,S,77,316,Stutzerimonas stutzeri,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas_stutzeri,834398,1057988
PD52713a,122669,0,4,0,144,144,O,29,2887326,Moraxellales,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,NA,NA,NA,0,13033274
PD52713a,122669,0,4,0,144,144,F,40,468,Moraxellaceae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,NA,NA,11531,13033274
PD52713a,122669,0,2,2,74,74,G,53,469,Acinetobacter,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,NA,2048343,10289327
PD52713a,122669,0,2,0,63,63,G,53,475,Moraxella,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,NA,62157,1082118
PD52713a,122669,0,2,2,57,57,S,77,34062,Moraxella osloensis,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella_osloensis,329173,329173
PD52713a,122669,0,1,0,57,49,O,29,135619,Oceanospirillales,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,NA,NA,NA,7997,14903197
PD52713a,122669,0,1,0,43,35,F,40,28256,Halomonadaceae,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,NA,NA,114176,7590312
PD52713a,122669,0,1,0,35,27,G,53,42054,Chromohalobacter,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,NA,0,110133
PD52713a,122669,0,1,0,35,27,S,77,158080,Chromohalobacter salexigens,Bacteria,NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter_salexigens,0,110133
PD52713a,122669,0.04,49,0,1538,1455,C,17,28216,Betaproteobacteria,Bacteria,NA,Pseudomonadota,Betaproteobacteria,NA,NA,NA,NA,189282,91046822
PD52713a,122669,0.04,46,0,1399,1316,O,29,206351,Neisseriales,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,NA,NA,NA,8040,8263050
PD52713a,122669,0.04,46,14,1392,1309,F,40,481,Neisseriaceae,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,NA,NA,102761,4168014
PD52713a,122669,0.02,28,23,1038,986,G,53,482,Neisseria,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,NA,297322,2217618
PD52713a,122669,0,3,3,200,187,S,77,488,Neisseria mucosa,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_mucosa,56719,56719
PD52713a,122669,0,1,1,56,55,S,77,490,Neisseria sicca,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_sicca,59230,87555
PD52713a,122669,0,1,1,31,29,S,77,495,Neisseria elongata,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_elongata,94619,118688
PD52713a,122669,0,3,1,120,103,G,53,32257,Kingella,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,NA,681,289252
PD52713a,122669,0,2,2,98,82,S,77,502,Kingella denitrificans,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,Kingella_denitrificans,61333,61333
PD52713a,122669,0,1,0,18,18,G,53,538,Eikenella,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,NA,14793,161798
PD52713a,122669,0,1,1,17,17,S,77,539,Eikenella corrodens,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Eikenella_corrodens,102225,102225
PD52713a,122669,0,3,1,125,125,O,29,80840,Burkholderiales,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,NA,NA,NA,411736,73886291
PD52713a,122669,0,1,0,37,37,F,40,119060,Burkholderiaceae,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NA,356497,34066895
PD52713a,122669,0,1,0,6,6,G,53,47670,Lautropia,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,NA,0,96341
PD52713a,122669,0,1,1,6,6,S,77,47671,Lautropia mirabilis,Bacteria,NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia_mirabilis,96341,96341
